activity,activities_code,states,activities_name
arts and culture,stsp,"dc,md,va",star-spangled banner national historic trail
arts and culture,tapr,ks,tallgrass prairie national preserve
arts and culture,thco,ny,thomas cole national historic site
arts and culture,thri,ny,theodore roosevelt inaugural national historic site
arts and culture,till,"il,ms",emmett till and mamie till-mobley national monument
arts and culture,tosy,ri,touro synagogue national historic site
arts and culture,trte,"al,ar,ga,il,ky,mo,nc,ok,tn",trail of tears national historic trail
arts and culture,tuma,az,tumacacori national historical park
arts and culture,ulsg,mo,ulysses s grant national historic site
arts and culture,vama,ny,vanderbilt mansion national historic site
arts and culture,viis,vi,virgin islands national park
arts and culture,voya,mn,voyageurs national park
arts and culture,waba,ok,washita battlefield national historic site
arts and culture,wefa,ct,weir farm national historical park
arts and culture,whho,dc,the white house and president's park
arts and culture,whmi,wa,whitman mission national historic site
arts and culture,wicr,mo,wilson's creek national battlefield
arts and culture,wotr,va,wolf trap national park for the performing arts
arts and culture,wrst,ak,wrangell - st elias national park and preserve
arts and culture,yell,"id,mt,wy",yellowstone national park
arts and culture,yose,ca,yosemite national park
arts and culture,zion,ut,zion national park
astronomy,abli,ky,abraham lincoln birthplace national historical park
astronomy,acad,me,acadia national park
astronomy,agfo,ne,agate fossil beds national monument
astronomy,appa,"ct,ga,ma,md,me,nc,nh,nj,ny,pa,tn,va,vt,wv",appalachian national scenic trail
astronomy,arch,ut,arches national park
astronomy,asis,"md,va",assateague island national seashore
astronomy,badl,sd,badlands national park
astronomy,band,nm,bandelier national monument
astronomy,bibe,tx,big bend national park
astronomy,bica,"mt,wy",bighorn canyon national recreation area
astronomy,bicy,fl,big cypress national preserve
astronomy,biso,"ky,tn",big south fork national river and recreation area
astronomy,blca,co,black canyon of the gunnison national park
astronomy,brca,ut,bryce canyon national park
astronomy,caha,nc,cape hatteras national seashore
astronomy,calo,nc,cape lookout national seashore
astronomy,cany,ut,canyonlands national park
astronomy,care,ut,capitol reef national park
astronomy,cave,nm,carlsbad caverns national park
astronomy,cavo,nm,capulin volcano national monument
astronomy,cebr,ut,cedar breaks national monument
astronomy,chcu,nm,chaco culture national historical park
astronomy,chic,ok,chickasaw national recreation area
astronomy,chir,az,chiricahua national monument
astronomy,chis,ca,channel islands national park
astronomy,ciro,id,city of rocks national reserve
astronomy,crla,or,crater lake national park
astronomy,crmo,id,craters of the moon national monument and preserve
astronomy,cure,co,curecanti national recreation area
astronomy,dena,ak,denali national park and preserve
astronomy,depo,ca,devils postpile national monument
astronomy,deto,wy,devils tower national monument
astronomy,deva,"ca,nv",death valley national park
astronomy,dino,"co,ut",dinosaur national monument
astronomy,drto,fl,dry tortugas national park
astronomy,ebla,wa,ebey's landing national historical reserve
astronomy,elma,nm,el malpais national monument
astronomy,elmo,nm,el morro national monument
astronomy,ever,fl,everglades national park
astronomy,fiis,ny,fire island national seashore
astronomy,flfo,co,florissant fossil beds national monument
astronomy,fola,wy,fort laramie national historic site
astronomy,fost,ny,fort stanwix national monument
astronomy,fosu,sc,fort sumter and fort moultrie national historical park
astronomy,gero,in,george rogers clark national historical park
astronomy,gicl,nm,gila cliff dwellings national monument
astronomy,glac,mt,glacier national park
astronomy,glca,"az,ut",glen canyon national recreation area
astronomy,grba,nv,great basin national park
astronomy,grca,az,grand canyon national park
astronomy,greg,nj,great egg harbor river
astronomy,grsa,co,great sand dunes national park and preserve
astronomy,grsm,"nc,tn",great smoky mountains national park
astronomy,hobe,al,horseshoe bend national military park
astronomy,hofu,pa,hopewell furnace national historic site
astronomy,hove,"co,ut",hovenweep national monument
astronomy,indu,in,indiana dunes national park
astronomy,isro,mi,isle royale national park
astronomy,jeff,mo,gateway arch national park
astronomy,jotr,ca,joshua tree national park
astronomy,kaww,me,katahdin woods and waters national monument
astronomy,kefj,ak,kenai fjords national park
astronomy,labe,ca,lava beds national monument
astronomy,lacl,ak,lake clark national park and preserve
astronomy,laro,wa,lake roosevelt national recreation area
astronomy,lavo,ca,lassen volcanic national park
astronomy,maca,ky,mammoth cave national park
astronomy,meve,co,mesa verde national park
astronomy,mnrr,"sd,ne",missouri national recreational river
astronomy,moca,az,montezuma castle national monument
astronomy,moja,ca,mojave national preserve
astronomy,mora,wa,mount rainier national park
astronomy,nabr,ut,natural bridges national monument
astronomy,natr,"al,ms,tn",natchez trace parkway
astronomy,nava,az,navajo national monument
astronomy,neri,wv,new river gorge national park and preserve
astronomy,niob,ne,niobrara national scenic river
astronomy,npnh,ny,national parks of new york harbor
astronomy,obed,tn,obed wild and scenic river
astronomy,olym,wa,olympic national park
astronomy,orpi,az,organ pipe cactus national monument
astronomy,ozar,mo,ozark national scenic riverways
astronomy,pais,tx,padre island national seashore
astronomy,para,az,grand canyon-parashant national monument
astronomy,pefo,az,petrified forest national park
astronomy,pevi,oh,perry's victory and international peace memorial
astronomy,pinn,ca,pinnacles national park
astronomy,piro,mi,pictured rocks national lakeshore
astronomy,pisp,az,pipe spring national monument
astronomy,rocr,dc,rock creek park
astronomy,romo,co,rocky mountain national park
astronomy,saga,nh,saint-gaudens national historical park
astronomy,sagu,az,saguaro national park
astronomy,sahi,ny,sagamore hill national historic site
astronomy,sapu,nm,salinas pueblo missions national monument
astronomy,seki,ca,sequoia and kings canyon national parks
astronomy,shen,va,shenandoah national park
astronomy,slbe,mi,sleeping bear dunes national lakeshore
astronomy,sucr,az,sunset crater volcano national monument
astronomy,tapr,ks,tallgrass prairie national preserve
astronomy,thro,nd,theodore roosevelt national park
astronomy,tuma,az,tumacacori national historical park
astronomy,tusk,nv,tule springs fossil beds national monument
astronomy,vall,nm,valles caldera national preserve
astronomy,viis,vi,virgin islands national park
astronomy,voya,mn,voyageurs national park
astronomy,wapa,gu,war in the pacific national historical park
astronomy,whis,ca,whiskeytown national recreation area
astronomy,yell,"id,mt,wy",yellowstone national park
astronomy,yose,ca,yosemite national park
astronomy,zion,ut,zion national park
auto and atv,alka,hi,ala kahakai national historic trail
auto and atv,ande,ga,andersonville national historic site
auto and atv,apco,va,appomattox court house national historical park
auto and atv,asis,"md,va",assateague island national seashore
auto and atv,badl,sd,badlands national park
auto and atv,bawa,md,baltimore-washington parkway
auto and atv,bibe,tx,big bend national park
auto and atv,bica,"mt,wy",bighorn canyon national recreation area
auto and atv,bicy,fl,big cypress national preserve
auto and atv,blri,"nc,va",blue ridge parkway
auto and atv,cach,az,canyon de chelly national monument
auto and atv,caco,ma,cape cod national seashore
auto and atv,caha,nc,cape hatteras national seashore
auto and atv,cali,"ca,co,id,ks,mo,ne,nv,or,ut,wy",california national historic trail
auto and atv,calo,nc,cape lookout national seashore
auto and atv,chch,"ga,tn",chickamauga and chattanooga national military park
auto and atv,chir,az,chiricahua national monument
auto and atv,ciro,id,city of rocks national reserve
auto and atv,colm,co,colorado national monument
auto and atv,colo,va,colonial national historical park
auto and atv,coro,az,coronado national memorial
auto and atv,crla,or,crater lake national park
auto and atv,crmo,id,craters of the moon national monument and preserve
auto and atv,dewa,"nj,pa",delaware water gap national recreation area
auto and atv,elca,"nm,tx",el camino real de tierra adentro national historic trail
auto and atv,elma,nm,el malpais national monument
auto and atv,elte,"tx,la",el camino real de los tejas national historic trail
auto and atv,ever,fl,everglades national park
auto and atv,flni,pa,flight 93 national memorial
auto and atv,fodo,"ky,tn",fort donelson national battlefield
auto and atv,gett,pa,gettysburg national military park
auto and atv,glac,mt,glacier national park
auto and atv,glba,ak,glacier bay national park and preserve
auto and atv,glca,"az,ut",glen canyon national recreation area
auto and atv,grba,nv,great basin national park
auto and atv,grca,az,grand canyon national park
auto and atv,grsa,co,great sand dunes national park and preserve
auto and atv,grsm,"nc,tn",great smoky mountains national park
auto and atv,grsp,va,green springs
auto and atv,grte,wy,grand teton national park
auto and atv,guco,nc,guilford courthouse national military park
auto and atv,gumo,tx,guadalupe mountains national park
auto and atv,hafo,id,hagerman fossil beds national monument
auto and atv,hobe,al,horseshoe bend national military park
auto and atv,hosp,ar,hot springs national park
auto and atv,indu,in,indiana dunes national park
auto and atv,jotr,ca,joshua tree national park
auto and atv,juba,"az,ca",juan bautista de anza national historic trail
auto and atv,labe,ca,lava beds national monument
auto and atv,lake,"az,nv",lake mead national recreation area
auto and atv,lamr,tx,lake meredith national recreation area
auto and atv,laro,wa,lake roosevelt national recreation area
auto and atv,lavo,ca,lassen volcanic national park
auto and atv,lecl,"ia,id,il,in,ks,ky,mo,mt,ne,nd,oh,or,pa,sd,wa,wv",lewis and clark national historic trail
auto and atv,libi,mt,little bighorn battlefield national monument
auto and atv,liri,al,little river canyon national preserve
auto and atv,lode,"pa,nj",lower delaware national wild and scenic river
auto and atv,meve,co,mesa verde national park
auto and atv,mnrr,"sd,ne",missouri national recreational river
auto and atv,moja,ca,mojave national preserve
auto and atv,mono,md,monocacy national battlefield
auto and atv,mopi,"il,ia,ne,ut,wy",mormon pioneer national historic trail
auto and atv,mora,wa,mount rainier national park
auto and atv,natr,"al,ms,tn",natchez trace parkway
auto and atv,neri,wv,new river gorge national park and preserve
auto and atv,noca,wa,north cascades national park
auto and atv,olsp,"az,ca,co,nv,nm,ut",old spanish national historic trail
auto and atv,oreg,"id,ks,mo,ne,or,wa,wy",oregon national historic trail
auto and atv,orpi,az,organ pipe cactus national monument
auto and atv,ovvi,"nc,sc,tn,va",overmountain victory national historic trail
auto and atv,ozar,mo,ozark national scenic riverways
auto and atv,pais,tx,padre island national seashore
auto and atv,para,az,grand canyon-parashant national monument
auto and atv,pefo,az,petrified forest national park
auto and atv,pete,va,petersburg national battlefield
auto and atv,piro,mi,pictured rocks national lakeshore
auto and atv,poex,"ca,co,ks,mo,ne,nv,ut,wy",pony express national historic trail
auto and atv,redw,ca,redwood national and state parks
auto and atv,rira,mi,river raisin national battlefield park
auto and atv,rocr,dc,rock creek park
auto and atv,romo,co,rocky mountain national park
auto and atv,safe,"co,ks,mo,nm,ok",santa fe national historic trail
auto and atv,sagu,az,saguaro national park
auto and atv,sara,ny,saratoga national historical park
auto and atv,scbl,ne,scotts bluff national monument
auto and atv,seki,ca,sequoia and kings canyon national parks
auto and atv,shen,va,shenandoah national park
auto and atv,shil,"tn,ms",shiloh national military park
auto and atv,slbe,mi,sleeping bear dunes national lakeshore
auto and atv,thro,nd,theodore roosevelt national park
auto and atv,timu,fl,timucuan ecological and historic preserve
auto and atv,trte,"al,ar,ga,il,ky,mo,nc,ok,tn",trail of tears national historic trail
auto and atv,vafo,pa,valley forge national historical park
auto and atv,vick,"ms,la",vicksburg national military park
auto and atv,whsa,nm,white sands national park
auto and atv,wica,sd,wind cave national park
auto and atv,wicr,mo,wilson's creek national battlefield
auto and atv,wrst,ak,wrangell - st elias national park and preserve
auto and atv,wupa,az,wupatki national monument
auto and atv,yell,"id,mt,wy",yellowstone national park
auto and atv,yose,ca,yosemite national park
biking,acad,me,acadia national park
biking,alka,hi,ala kahakai national historic trail
biking,amme,mp,american memorial park
biking,anac,dc,anacostia park
biking,anti,md,antietam national battlefield
biking,arch,ut,arches national park
biking,asis,"md,va",assateague island national seashore
biking,badl,sd,badlands national park
biking,beol,co,bent's old fort national historic site
biking,bibe,tx,big bend national park
biking,bica,"mt,wy",bighorn canyon national recreation area
biking,bicy,fl,big cypress national preserve
biking,biso,"ky,tn",big south fork national river and recreation area
biking,bith,tx,big thicket national preserve
biking,blri,"nc,va",blue ridge parkway
biking,blrv,"ri,ma",blackstone river valley national historical park
biking,blue,wv,bluestone national scenic river
biking,brca,ut,bryce canyon national park
biking,cabr,ca,cabrillo national monument
biking,caco,ma,cape cod national seashore
biking,cahi,dc,capitol hill parks
biking,cany,ut,canyonlands national park
biking,care,ut,capitol reef national park
biking,cavo,nm,capulin volcano national monument
biking,cham,tx,chamizal national memorial
biking,chat,ga,chattahoochee river national recreation area
biking,chch,"ga,tn",chickamauga and chattanooga national military park
biking,chic,ok,chickasaw national recreation area
biking,choh,"dc,md,wv",chesapeake and ohio canal national historical park
biking,ciro,id,city of rocks national reserve
biking,colm,co,colorado national monument
biking,colo,va,colonial national historical park
biking,coro,az,coronado national memorial
biking,cowp,sc,cowpens national battlefield
biking,crla,or,crater lake national park
biking,crmo,id,craters of the moon national monument and preserve
biking,cuga,"ky,tn,va",cumberland gap national historical park
biking,cuis,ga,cumberland island national seashore
biking,cuva,oh,cuyahoga valley national park
biking,cwdw,"dc,md,va",civil war defenses of washington
biking,daav,oh,dayton aviation heritage national historical park
biking,dena,ak,denali national park and preserve
biking,depo,ca,devils postpile national monument
biking,deva,"ca,nv",death valley national park
biking,dewa,"nj,pa",delaware water gap national recreation area
biking,dino,"co,ut",dinosaur national monument
biking,ebla,wa,ebey's landing national historical reserve
biking,eise,pa,eisenhower national historic site
biking,ever,fl,everglades national park
biking,fodu,dc,fort dupont park
biking,fofr,ga,fort frederica national monument
biking,fomc,md,fort mchenry national monument and historic shrine
biking,fomr,va,fort monroe national monument
biking,fopu,ga,fort pulaski national monument
biking,fost,ny,fort stanwix national monument
biking,fova,"or,wa",fort vancouver national historic site
biking,frsp,va,fredericksburg and spotsylvania national military park
biking,frst,"de,pa",first state national historical park
biking,gate,"ny,nj",gateway national recreation area
biking,gett,pa,gettysburg national military park
biking,glac,mt,glacier national park
biking,glca,"az,ut",glen canyon national recreation area
biking,goga,ca,golden gate national recreation area
biking,gois,ny,governors island national monument
biking,grba,nv,great basin national park
biking,grca,az,grand canyon national park
biking,greg,nj,great egg harbor river
biking,grsa,co,great sand dunes national park and preserve
biking,grsm,"nc,tn",great smoky mountains national park
biking,grsp,va,green springs
biking,grte,wy,grand teton national park
biking,guco,nc,guilford courthouse national military park
biking,guis,"fl,ms",gulf islands national seashore
biking,gwmp,"dc,md,va",george washington memorial parkway
biking,hamp,md,hampton national historic site
biking,havo,hi,hawaii volcanoes national park
biking,hobe,al,horseshoe bend national military park
biking,hocu,oh,hopewell culture national historical park
biking,hofu,pa,hopewell furnace national historic site
biking,hosp,ar,hot springs national park
biking,indu,in,indiana dunes national park
biking,jeff,mo,gateway arch national park
biking,jica,ga,jimmy carter national historical park
biking,jotr,ca,joshua tree national park
biking,juba,"az,ca",juan bautista de anza national historic trail
biking,kaho,hi,kaloko-honokohau national historical park
biking,kaww,me,katahdin woods and waters national monument
biking,kemo,ga,kennesaw mountain national battlefield park
biking,kewe,mi,keweenaw national historical park
biking,labe,ca,lava beds national monument
biking,lacl,ak,lake clark national park and preserve
biking,lake,"az,nv",lake mead national recreation area
biking,lamr,tx,lake meredith national recreation area
biking,lavo,ca,lassen volcanic national park
biking,lecl,"ia,id,il,in,ks,ky,mo,mt,ne,nd,oh,or,pa,sd,wa,wv",lewis and clark national historic trail
biking,libo,in,lincoln boyhood national memorial
biking,liri,al,little river canyon national preserve
biking,lyba,dc,lbj memorial grove on the potomac
biking,maca,ky,mammoth cave national park
biking,manz,ca,manzanar national historic site
biking,meve,co,mesa verde national park
biking,miss,mn,mississippi national river and recreation area
biking,mnrr,"sd,ne",missouri national recreational river
biking,moja,ca,mojave national preserve
biking,mora,wa,mount rainier national park
biking,morr,nj,morristown national historical park
biking,nace,dc,national capital parks-east
biking,nama,dc,national mall and memorial parks
biking,natr,"al,ms,tn",natchez trace parkway
biking,neri,wv,new river gorge national park and preserve
biking,niob,ne,niobrara national scenic river
biking,noca,wa,north cascades national park
biking,noco,"mi,mn,nd,ny,oh,pa,vt,wi",north country national scenic trail
biking,npnh,ny,national parks of new york harbor
biking,ocmu,ga,ocmulgee mounds national historical park
biking,olym,wa,olympic national park
biking,orpi,az,organ pipe cactus national monument
biking,ovvi,"nc,sc,tn,va",overmountain victory national historic trail
biking,oxhi,md,oxon cove park and oxon hill farm
biking,paal,tx,palo alto battlefield national historical park
biking,pais,tx,padre island national seashore
biking,para,az,grand canyon-parashant national monument
biking,pefo,az,petrified forest national park
biking,peri,ar,pea ridge national military park
biking,pete,va,petersburg national battlefield
biking,pevi,oh,perry's victory and international peace memorial
biking,pinn,ca,pinnacles national park
biking,piro,mi,pictured rocks national lakeshore
biking,pohe,"dc,md,pa,va",potomac heritage national scenic trail
biking,pore,ca,point reyes national seashore
biking,prsf,ca,presidio of san francisco
biking,prwi,va,prince william forest park
biking,redw,ca,redwood national and state parks
biking,rira,mi,river raisin national battlefield park
biking,rocr,dc,rock creek park
biking,saan,tx,san antonio missions national historical park
biking,sagu,az,saguaro national park
biking,sahi,ny,sagamore hill national historic site
biking,sajh,wa,san juan island national historical park
biking,samo,ca,santa monica mountains national recreation area
biking,sara,ny,saratoga national historical park
biking,scbl,ne,scotts bluff national monument
biking,shen,va,shenandoah national park
biking,shil,"tn,ms",shiloh national military park
biking,slbe,mi,sleeping bear dunes national lakeshore
biking,stri,tn,stones river national battlefield
biking,stsp,"dc,md,va",star-spangled banner national historic trail
biking,thro,nd,theodore roosevelt national park
biking,timu,fl,timucuan ecological and historic preserve
biking,tont,az,tonto national monument
biking,tusk,nv,tule springs fossil beds national monument
biking,ulsg,mo,ulysses s grant national historic site
biking,vafo,pa,valley forge national historical park
biking,vall,nm,valles caldera national preserve
biking,vick,"ms,la",vicksburg national military park
biking,voya,mn,voyageurs national park
biking,whis,ca,whiskeytown national recreation area
biking,whsa,nm,white sands national park
biking,wica,sd,wind cave national park
biking,wicl,ar,president william jefferson clinton birthplace home national historic site
biking,wicr,mo,wilson's creek national battlefield
biking,wrst,ak,wrangell - st elias national park and preserve
biking,wupa,az,wupatki national monument
biking,yell,"id,mt,wy",yellowstone national park
biking,york,va,yorktown battlefield part of colonial national historical park
biking,yose,ca,yosemite national park
biking,zion,ut,zion national park
boating,acad,me,acadia national park
boating,alag,ak,alagnak wild river
boating,alka,hi,ala kahakai national historic trail
boating,amis,tx,amistad national recreation area
boating,anac,dc,anacostia park
boating,apis,wi,apostle islands national lakeshore
boating,arpo,ar,arkansas post national memorial
boating,bica,"mt,wy",bighorn canyon national recreation area
boating,bicy,fl,big cypress national preserve
boating,bisc,fl,biscayne national park
boating,biso,"ky,tn",big south fork national river and recreation area
boating,bith,tx,big thicket national preserve
boating,blue,wv,bluestone national scenic river
boating,boha,ma,boston harbor islands national recreation area
boating,buis,vi,buck island reef national monument
boating,cajo,"va,md,de,dc,pa,ny",captain john smith chesapeake national historic trail
boating,calo,nc,cape lookout national seashore
boating,cana,fl,canaveral national seashore
boating,cany,ut,canyonlands national park
boating,cbpo,"dc,de,md,ny,pa,va,wv",chesapeake bay
boating,chat,ga,chattahoochee river national recreation area
boating,chic,ok,chickasaw national recreation area
boating,chis,ca,channel islands national park
boating,choh,"dc,md,wv",chesapeake and ohio canal national historical park
boating,crla,or,crater lake national park
boating,cuis,ga,cumberland island national seashore
boating,cure,co,curecanti national recreation area
boating,dewa,"nj,pa",delaware water gap national recreation area
boating,drto,fl,dry tortugas national park
boating,ebla,wa,ebey's landing national historical reserve
boating,ever,fl,everglades national park
boating,fiis,ny,fire island national seashore
boating,fopu,ga,fort pulaski national monument
boating,fosu,sc,fort sumter and fort moultrie national historical park
boating,gari,wv,gauley river national recreation area
boating,gate,"ny,nj",gateway national recreation area
boating,glac,mt,glacier national park
boating,glba,ak,glacier bay national park and preserve
boating,glca,"az,ut",glen canyon national recreation area
boating,grca,az,grand canyon national park
boating,greg,nj,great egg harbor river
boating,grte,wy,grand teton national park
boating,guis,"fl,ms",gulf islands national seashore
boating,hobe,al,horseshoe bend national military park
boating,indu,in,indiana dunes national park
boating,isro,mi,isle royale national park
boating,katm,ak,katmai national park and preserve
boating,kefj,ak,kenai fjords national park
boating,kova,ak,kobuk valley national park
boating,lacl,ak,lake clark national park and preserve
boating,lake,"az,nv",lake mead national recreation area
boating,lamr,tx,lake meredith national recreation area
boating,laro,wa,lake roosevelt national recreation area
boating,lavo,ca,lassen volcanic national park
boating,lecl,"ia,id,il,in,ks,ky,mo,mt,ne,nd,oh,or,pa,sd,wa,wv",lewis and clark national historic trail
boating,lode,"pa,nj",lower delaware national wild and scenic river
boating,lowe,ma,lowell national historical park
boating,maca,ky,mammoth cave national park
boating,mall,dc,**********national mall**********
boating,miss,mn,mississippi national river and recreation area
boating,mnrr,"sd,ne",missouri national recreational river
boating,nama,dc,national mall and memorial parks
boating,neri,wv,new river gorge national park and preserve
boating,noat,ak,noatak national preserve
boating,noca,wa,north cascades national park
boating,npnh,ny,national parks of new york harbor
boating,olym,wa,olympic national park
boating,ozar,mo,ozark national scenic riverways
boating,pais,tx,padre island national seashore
boating,pevi,oh,perry's victory and international peace memorial
boating,piro,mi,pictured rocks national lakeshore
boating,pisc,md,piscataway park
boating,rabr,ut,rainbow bridge national monument
boating,rigr,tx,rio grande wild and scenic river
boating,sacn,"wi,mn",saint croix national scenic riverway
boating,safr,ca,san francisco maritime national historical park
boating,stsp,"dc,md,va",star-spangled banner national historic trail
boating,timu,fl,timucuan ecological and historic preserve
boating,upde,"ny,pa",upper delaware scenic and recreational river
boating,vicr,vi,virgin islands coral reef national monument
boating,viis,vi,virgin islands national park
boating,voya,mn,voyageurs national park
boating,whis,ca,whiskeytown national recreation area
boating,wrst,ak,wrangell - st elias national park and preserve
boating,yell,"id,mt,wy",yellowstone national park
boating,yose,ca,yosemite national park
boating,yuch,ak,yukon - charley rivers national preserve
camping,acad,me,acadia national park
camping,alag,ak,alagnak wild river
camping,alfl,tx,alibates flint quarries national monument
camping,alka,hi,ala kahakai national historic trail
camping,amis,tx,amistad national recreation area
camping,ande,ga,andersonville national historic site
camping,ania,ak,aniakchak national monument and preserve
camping,anti,md,antietam national battlefield
